doc_id,work,institution,type_raw,mtype
4ce205b8-53d2-11ea-aece-01aa75ed71a1,http://publications.europa.eu/resource/cellar/4ce205b8-53d2-11ea-aece-01aa75ed71a1,Commission,REPORT,xhtml
4e01fbb5-4aa4-11f0-85ba-01aa75ed71a1,http://publications.europa.eu/resource/cellar/4e01fbb5-4aa4-11f0-85ba-01aa75ed71a1,Commission,SWD,xhtml
5056e36b-e777-11ee-9ea8-01aa75ed71a1,http://publications.europa.eu/resource/cellar/5056e36b-e777-11ee-9ea8-01aa75ed71a1,Parliament,REPORT_EP,
51e75c0d-eb50-11eb-93a8-01aa75ed71a1,http://publications.europa.eu/resource/cellar/51e75c0d-eb50-11eb-93a8-01aa75ed71a1,Parliament,RES,xhtml
52028928-482a-11f1-8095-01aa75ed71a1,http://publications.europa.eu/resource/cellar/52028928-482a-11f1-8095-01aa75ed71a1,Commission,REPORT,pdf
5305a847-2dba-11ed-975d-01aa75ed71a1,http://publications.europa.eu/resource/cellar/5305a847-2dba-11ed-975d-01aa75ed71a1,Parliament,OWNINI_RES,xhtml
543241bd-d0ab-11f0-8da2-01aa75ed71a1,http://publications.europa.eu/resource/cellar/543241bd-d0ab-11f0-8da2-01aa75ed71a1,Parliament,OPIN_LETTER_EP_CMT,
55e8b036-4aa4-11f0-85ba-01aa75ed71a1,http://publications.europa.eu/resource/cellar/55e8b036-4aa4-11f0-85ba-01aa75ed71a1,Commission,SWD,xhtml
572230f4-2896-11f1-a7dd-01aa75ed71a1,http://publications.europa.eu/resource/cellar/572230f4-2896-11f1-a7dd-01aa75ed71a1,Parliament,AMEND_LIST_EP,
5aef16ec-208d-11ee-94cb-01aa75ed71a1,http://publications.europa.eu/resource/cellar/5aef16ec-208d-11ee-94cb-01aa75ed71a1,Commission,COMMUNIC,xhtml
5d1e5a0e-3ff9-11ed-92ed-01aa75ed71a1,http://publications.europa.eu/resource/cellar/5d1e5a0e-3ff9-11ed-92ed-01aa75ed71a1,Commission,SWD,xhtml
5dd1cad0-285f-11f1-a7dd-01aa75ed71a1,http://publications.europa.eu/resource/cellar/5dd1cad0-285f-11f1-a7dd-01aa75ed71a1,Council,NOTE,
5de8d1db-4311-11f1-8095-01aa75ed71a1,http://publications.europa.eu/resource/cellar/5de8d1db-4311-11f1-8095-01aa75ed71a1,Commission,SWD,xhtml
60cb6359-a0e6-11f1-b25c-01aa75ed71a1,http://publications.europa.eu/resource/cellar/60cb6359-a0e6-11f1-b25c-01aa75ed71a1,Parliament,RES_LEGIS,xhtml
61d496bf-263f-11ec-bd8e-01aa75ed71a1,http://publications.europa.eu/resource/cellar/61d496bf-263f-11ec-bd8e-01aa75ed71a1,Parliament,OWNINI_RES,xhtml
620b015d-208d-11ee-94cb-01aa75ed71a1,http://publications.europa.eu/resource/cellar/620b015d-208d-11ee-94cb-01aa75ed71a1,Commission,SWD,xhtml
621680a1-69f2-11f1-ae88-01aa75ed71a1,http://publications.europa.eu/resource/cellar/621680a1-69f2-11f1-ae88-01aa75ed71a1,Commission,REPORT,pdf
6502082f-a0e6-11f1-b25c-01aa75ed71a1,http://publications.europa.eu/resource/cellar/6502082f-a0e6-11f1-b25c-01aa75ed71a1,Parliament,OWNINI_RES,xhtml
66016957-1f96-11f1-8c3a-01aa75ed71a1,http://publications.europa.eu/resource/cellar/66016957-1f96-11f1-8c3a-01aa75ed71a1,Parliament,REPORT,
6847a2e7-33ad-11f1-be39-01aa75ed71a1,http://publications.europa.eu/resource/cellar/6847a2e7-33ad-11f1-be39-01aa75ed71a1,Parliament,OWNINI_RES,xhtml
694a86eb-50e5-11f0-a9d0-01aa75ed71a1,http://publications.europa.eu/resource/cellar/694a86eb-50e5-11f0-a9d0-01aa75ed71a1,Commission,COMMUNIC,xhtml
6b108cfc-d0ff-11f0-8da2-01aa75ed71a1,http://publications.europa.eu/resource/cellar/6b108cfc-d0ff-11f0-8da2-01aa75ed71a1,Commission,COMMUNIC,xhtml
6e73e2db-5f40-11f1-aa6d-01aa75ed71a1,http://publications.europa.eu/resource/cellar/6e73e2db-5f40-11f1-aa6d-01aa75ed71a1,Commission,PROP_REG,xhtml
6e99365f-1836-11ef-a251-01aa75ed71a1,http://publications.europa.eu/resource/cellar/6e99365f-1836-11ef-a251-01aa75ed71a1,Council,NOTE,pdf
6fae7de9-1a23-11f1-9769-01aa75ed71a1,http://publications.europa.eu/resource/cellar/6fae7de9-1a23-11f1-9769-01aa75ed71a1,Parliament,REPORT,
74f491f3-299f-11f1-8803-01aa75ed71a1,http://publications.europa.eu/resource/cellar/74f491f3-299f-11f1-8803-01aa75ed71a1,Parliament,REPORT,pdf
7686476d-e777-11ee-9ea8-01aa75ed71a1,http://publications.europa.eu/resource/cellar/7686476d-e777-11ee-9ea8-01aa75ed71a1,Parliament,OPIN_EP_CMT,
79233450-dc06-11f0-8da2-01aa75ed71a1,http://publications.europa.eu/resource/cellar/79233450-dc06-11f0-8da2-01aa75ed71a1,Commission,REPORT,xhtml
7ae82b77-c570-11f0-8da2-01aa75ed71a1,http://publications.europa.eu/resource/cellar/7ae82b77-c570-11f0-8da2-01aa75ed71a1,Commission,SWD,xhtml
7b2a3e7a-3f77-11f1-8095-01aa75ed71a1,http://publications.europa.eu/resource/cellar/7b2a3e7a-3f77-11f1-8095-01aa75ed71a1,Parliament,OWNINI_RES,xhtml
7c7291be-4b3c-11f1-8095-01aa75ed71a1,http://publications.europa.eu/resource/cellar/7c7291be-4b3c-11f1-8095-01aa75ed71a1,Council,NOTE,
7f8f81de-405e-11f0-b9f2-01aa75ed71a1,http://publications.europa.eu/resource/cellar/7f8f81de-405e-11f0-b9f2-01aa75ed71a1,Commission,PROP_DEC,xhtml
836f8ddc-0de5-11eb-bc07-01aa75ed71a1,http://publications.europa.eu/resource/cellar/836f8ddc-0de5-11eb-bc07-01aa75ed71a1,Council,CONCL,xhtml
8471c58f-bb8f-11ee-b164-01aa75ed71a1,http://publications.europa.eu/resource/cellar/8471c58f-bb8f-11ee-b164-01aa75ed71a1,Commission,PROP_REG,xhtml
85c7a130-08c8-11f1-8870-01aa75ed71a1,http://publications.europa.eu/resource/cellar/85c7a130-08c8-11f1-8870-01aa75ed71a1,Parliament,AMEND_LIST_EP,
866eb16e-734d-11ec-9136-01aa75ed71a1,http://publications.europa.eu/resource/cellar/866eb16e-734d-11ec-9136-01aa75ed71a1,Parliament,OWNINI_RES,xhtml
8707360e-15f6-11f0-b1a3-01aa75ed71a1,http://publications.europa.eu/resource/cellar/8707360e-15f6-11f0-b1a3-01aa75ed71a1,Commission,COMMUNIC,xhtml
88f1c1f5-299f-11f1-8803-01aa75ed71a1,http://publications.europa.eu/resource/cellar/88f1c1f5-299f-11f1-8803-01aa75ed71a1,Parliament,REPORT,pdf
8b2c398f-0601-11ef-a251-01aa75ed71a1,http://publications.europa.eu/resource/cellar/8b2c398f-0601-11ef-a251-01aa75ed71a1,Parliament,ADOPT_TEXT,
8f622861-7533-11ed-9887-01aa75ed71a1,http://publications.europa.eu/resource/cellar/8f622861-7533-11ed-9887-01aa75ed71a1,Parliament,OWNINI_RES,xhtml
