doc_id,status,bytes,institution,type_raw,mtype
e41e33b5-69ac-11ee-9220-01aa75ed71a1,ok,772948,Council,NOTE,pdf
e45654de-9dcf-11f1-b25c-01aa75ed71a1,ok,15879084,Commission,REPORT,pdf
e4c43528-ccfc-11ea-adf7-01aa75ed71a1,ok,776973,Commission,IMPACT_ASSESS_INCEP,pdf
e69a1045-6fa1-11f1-ae88-01aa75ed71a1,ok,207138,Council,ITEM_IA_NOTE,pdf
e7fdab55-488b-11ef-acbc-01aa75ed71a1,ok,44949,Council,CONCL,xhtml
e80c49bd-12d8-11ef-a251-01aa75ed71a1,ok,133386,Council,ITEM_IA_NOTE,pdf
eb6e6f8d-7f7f-11ec-8c40-01aa75ed71a1,ok,254284,Commission,SWD,xhtml
ec39aa89-263f-11ec-bd8e-01aa75ed71a1,ok,405636,Parliament,OWNINI_RES,xhtml
edc54cc2-1eff-11f1-8c3a-01aa75ed71a1,ok,609453,Council,NOTE,pdf
ef017692-8c1f-11ef-a130-01aa75ed71a1,ok,64812,Parliament,OWNINI_RES,xhtml
ef0e78ed-617b-11f0-bf4e-01aa75ed71a1,ok,325796,Commission,PROP_REG,xhtml
ef4ecd46-c5fa-11f0-8da2-01aa75ed71a1,ok,124748,Commission,COMMUNIC,xhtml
ef62dd1f-888e-11ec-8c40-01aa75ed71a1,ok,86123,Parliament,OWNINI_RES,xhtml
f76aad95-7089-11f1-9800-01aa75ed71a1,ok,171396,Council,ITEM_IA_NOTE,pdf
f8aefac9-589e-11f1-b3e2-01aa75ed71a1,ok,52794,Council,CONCL,xhtml
fc66252a-67a6-11f0-bf4e-01aa75ed71a1,ok,120895,Council,NOTE,pdf
fd86e2b0-758c-11ed-9887-01aa75ed71a1,ok,1034391,Council,NOTE,pdf
fe9a4f6c-f4ad-11ef-b7db-01aa75ed71a1,ok,13877,Parliament,RES_LEGIS,xhtml
0269e2d1-479c-11f1-8095-01aa75ed71a1,ok,435177,Council,NOTE,
5dd1cad0-285f-11f1-a7dd-01aa75ed71a1,ok,563112,Council,NOTE,
7c7291be-4b3c-11f1-8095-01aa75ed71a1,ok,569211,Council,NOTE,
a535fadc-3ca3-11f1-814f-01aa75ed71a1,ok,2506240,Council,NOTE,
a6b848be-3dc6-11f1-814f-01aa75ed71a1,ok,2458007,Council,NOTE,
b23c4995-2861-11f1-a7dd-01aa75ed71a1,ok,467937,Council,NOTE,
c880345c-1c5c-11f1-8c3a-01aa75ed71a1,ok,593139,Council,NOTE,
ce3b96ac-2867-11f1-a7dd-01aa75ed71a1,ok,441346,Council,NOTE,
d410511a-227d-11ef-a251-01aa75ed71a1,ok,1416540,Council,NOTE,
0ac0e899-285d-11f1-a7dd-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,OPIN_EP_CMT,
0d017b78-1658-11f1-8870-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,OPIN_EP_CMT,
194b2202-e778-11ee-9ea8-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,OPIN_EP_CMT,
2260326c-6573-11f1-9b18-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,AMEND_LIST_EP,
28f1db4d-1d3f-11f1-8c3a-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,REPORT,
29040769-1d38-11f1-8c3a-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Council,NOTE,
2fcad39a-e777-11ee-9ea8-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,ADOPT_TEXT,
34148981-2911-11f1-a7dd-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,AMEND_LIST_EP,
3f7f2c72-c6b3-11f0-8da2-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,REPORT_DRAFT_EP_CMT,
41c8182a-27f1-11f1-a7dd-01aa75ed71a1,not retrievable: no CELLAR manifestation (held on the issuing institution's own register),0,Parliament,AMEND_LIST_EP,
